company_id,company_name,industry,product_type,country,founded_date,outcome,outcome_date,last_observed_date,market_score,scalability_score,company_description,founder_statement,failure_reason
co_flashcart,FlashCart Market,Ecommerce,Marketplace,USA,2019-03-15,failed,2023-05-13,2023-05-13,42,55,Same day grocery marketplace with heavy subsidies and weak repeat demand,Growth depended on discounts before retention was proven,High burn and weak unit economics
co_tokennest,TokenNest,Crypto,Infrastructure,Singapore,2020-05-15,failed,2023-07-14,2023-07-14,38,62,Crypto wallet infrastructure for speculative apps with volatile demand,The team chased protocol partnerships before revenue was stable,Regulatory pressure and shrinking developer demand
co_medroute,MedRoute AI,Healthcare,SaaS,USA,2018-02-15,failed,2023-04-15,2023-04-15,45,58,AI care routing platform with long hospital sales cycles and unclear reimbursement,Hospitals liked pilots but procurement rarely converted,Sales cycles exceeded runway
co_droneshelf,DroneShelf,Robotics,Hardware,Germany,2017-04-15,failed,2022-06-13,2022-06-13,40,48,Autonomous retail inventory drones requiring custom hardware and store retrofits,Every deployment needed custom work from the engineering team,Hardware cost and integration risk were too high
co_eduspark,EduSpark Live,Edtech,Consumer App,India,2021-01-15,failed,2024-03-15,2024-03-15,44,60,Live tutoring marketplace in a crowded test prep market with low switching cost,Discounting brought users but paid retention stayed weak,Customer acquisition cost exceeded lifetime value
co_metatown,MetaTown Work,Collaboration,Virtual Platform,USA,2020-07-15,failed,2023-09-13,2023-09-13,35,70,Virtual office platform tied to novelty behavior and low daily utility,Usage was interesting during demos but not part of daily work,Demand faded after the initial launch wave
co_greenscoot,GreenScoot,Mobility,Hardware,France,2018-06-15,failed,2022-08-13,2022-08-13,41,50,Shared scooter fleet with high repair cost and city permit exposure,The model required dense utilization before city rules changed,Operating cost and regulation compressed margins
co_adsignal,AdSignal Loop,Martech,SaaS,UK,2019-04-15,failed,2023-06-13,2023-06-13,47,64,Attribution platform exposed to privacy changes and crowded ad tooling,Customers questioned accuracy as tracking data disappeared,Privacy changes reduced signal quality
co_mealkit,MealKit Cloud,Foodtech,Subscription,USA,2017-05-15,failed,2022-07-13,2022-07-13,39,52,Subscription meal kits with complex logistics high spoilage and frequent churn,The brand grew quickly but fulfillment quality varied by region,Logistics cost and churn prevented scale
co_indiebank,IndieBank,Fintech,Consumer App,Brazil,2019-02-15,failed,2023-04-15,2023-04-15,43,66,Neobank for freelancers with high customer acquisition cost and thin interchange margins,The product was useful but distribution was more expensive than expected,Revenue per customer was too low
co_fitmirror,FitMirror Home,Fitness,Hardware,USA,2018-01-15,failed,2023-03-15,2023-03-15,46,54,Connected fitness mirror with expensive hardware and demand pulled forward by lockdowns,Hardware margin left little room for content investment,Inventory and support costs outgrew revenue
