company_id,round_date,round_name,amount_usd
co_flashcart,2019-08-12,Seed,2208136
co_flashcart,2020-08-11,Series A,6693817
co_flashcart,2021-08-11,Series B,12806188
co_flashcart,2022-08-11,Series C,20291859
co_tokennest,2020-10-12,Seed,1830947
co_tokennest,2021-10-12,Series A,5550393
co_tokennest,2022-10-12,Series B,10618660
co_medroute,2018-07-15,Seed,2232457
co_medroute,2021-01-12,Series A,6767543
co_droneshelf,2017-09-12,Seed,2644701
co_droneshelf,2019-05-13,Series A,8017234
co_droneshelf,2021-01-10,Series B,15338065
co_eduspark,2021-06-14,Seed,1240254
co_eduspark,2022-12-13,Series A,3759746
co_metatown,2020-12-12,Seed,3051578
co_metatown,2021-12-12,Series A,9250655
co_metatown,2022-12-12,Series B,17697767
co_greenscoot,2018-11-12,Seed,1156643
co_greenscoot,2019-11-12,Series A,3506285
co_greenscoot,2020-11-11,Series B,6708003
co_greenscoot,2021-11-11,Series C,10629069
co_adsignal,2019-09-12,Seed,1860381
co_adsignal,2021-09-11,Series A,5639619
co_mealkit,2017-10-12,Seed,1424070
co_mealkit,2019-06-12,Series A,4316972
co_mealkit,2021-02-09,Series B,8258958
co_indiebank,2019-07-15,Seed,2976609
co_indiebank,2021-07-14,Series A,9023391
co_fitmirror,2018-06-14,Seed,2891607
co_fitmirror,2019-09-13,Series A,8765713
co_fitmirror,2020-12-12,Series B,16770008
co_fitmirror,2022-03-13,Series C,26572673
co_legalbot,2020-01-12,Seed,1488304
co_legalbot,2022-01-11,Series A,4511696
co_quickhire,2020-08-12,Seed,2108431
co_quickhire,2022-02-10,Series A,6391569
co_nanofarm,2018-09-12,Seed,1729228
co_nanofarm,2020-01-11,Series A,5242038
co_nanofarm,2021-05-11,Series B,10028735
co_socialpulse,2021-11-12,Seed,1118912
co_socialpulse,2022-07-13,Series A,3391907
co_socialpulse,2023-03-13,Series B,6489181
co_brickbuy,2015-10-12,Seed,2799099
co_brickbuy,2017-03-06,Series A,8485281
co_brickbuy,2018-07-30,Series B,16233503
co_brickbuy,2019-12-23,Series C,25722562
co_brickbuy,2021-05-17,Series D,36759555
co_bytebrew,2017-02-12,Seed,1424070
co_bytebrew,2019-02-12,Series A,4316972
co_bytebrew,2021-02-11,Series B,8258958
co_clinicpod,2014-07-15,Seed,2177077
co_clinicpod,2015-12-08,Series A,6599663
co_clinicpod,2017-05-02,Series B,12626058
co_clinicpod,2018-09-25,Series C,20006437
co_clinicpod,2020-02-18,Series D,28590765
co_groovenote,2018-04-14,Seed,2356482
co_groovenote,2020-10-12,Series A,7143518
co_routemind,2013-09-12,Seed,1220631
co_routemind,2016-05-12,Series A,3700262
co_routemind,2019-01-10,Series B,7079107
co_pixelpath,2020-02-12,Seed,2136105
co_pixelpath,2021-06-12,Series A,6475458
co_pixelpath,2022-10-11,Series B,12388437
co_yieldyard,2016-10-12,Seed,1734964
co_yieldyard,2018-04-12,Series A,5259428
co_yieldyard,2019-10-11,Series B,10062005
co_yieldyard,2021-04-10,Series C,15943604
co_swiftbrief,2021-03-14,Seed,1116228
co_swiftbrief,2022-09-12,Series A,3383772
co_caretrack,2014-11-12,Seed,2523584
co_caretrack,2016-11-11,Series A,7650077
co_caretrack,2018-11-11,Series B,14635643
co_caretrack,2020-11-10,Series C,23190696
co_finlearn,2020-09-12,Seed,1736355
co_finlearn,2022-03-13,Series A,5263645
co_ledgerflow,2018-08-12,Seed,1525789
co_ledgerflow,2021-04-14,Series A,4625327
co_ledgerflow,2023-12-16,Series B,8848884
co_clinicbridge,2017-10-12,Seed,2480507
co_clinicbridge,2022-03-16,Series A,7519493
co_shopstack,2016-09-12,Seed,1577240
co_shopstack,2019-03-08,Series A,4781298
co_shopstack,2021-08-31,Series B,9147277
co_shopstack,2024-02-24,Series C,14494185
co_freightgrid,2017-07-15,Seed,2441262
co_freightgrid,2020-07-26,Series A,7400524
co_freightgrid,2023-08-07,Series B,14158214
co_codeharbor,2019-11-12,Seed,2976609
co_codeharbor,2023-04-01,Series A,9023391
co_datacove,2019-02-12,Seed,2034385
co_datacove,2021-08-15,Series A,6167103
co_datacove,2024-02-16,Series B,11798512
