company_name,status,label,industry,product_type,country,funding_total_usd,funding_rounds,founded_year,operating_years,market_score,scalability_score,company_description,failure_reason,founder_statement
FlashCart Market,failed,1,Ecommerce,Marketplace,USA,42000000,4,2019,4,42,55,"Same day grocery marketplace with heavy subsidies and weak repeat demand","High burn and weak unit economics","Growth depended on discounts before retention was proven"
TokenNest,failed,1,Crypto,Infrastructure,Singapore,18000000,3,2020,3,38,62,"Crypto wallet infrastructure for speculative apps with volatile demand","Regulatory pressure and shrinking developer demand","The team chased protocol partnerships before revenue was stable"
MedRoute AI,failed,1,Healthcare,SaaS,USA,9000000,2,2018,5,45,58,"AI care routing platform with long hospital sales cycles and unclear reimbursement","Sales cycles exceeded runway","Hospitals liked pilots but procurement rarely converted"
DroneShelf,failed,1,Robotics,Hardware,Germany,26000000,3,2017,5,40,48,"Autonomous retail inventory drones requiring custom hardware and store retrofits","Hardware cost and integration risk were too high","Every deployment needed custom work from the engineering team"
EduSpark Live,failed,1,Edtech,Consumer App,India,5000000,2,2021,3,44,60,"Live tutoring marketplace in a crowded test prep market with low switching cost","Customer acquisition cost exceeded lifetime value","Discounting brought users but paid retention stayed weak"
MetaTown Work,failed,1,Collaboration,Virtual Platform,USA,30000000,3,2020,3,35,70,"Virtual office platform tied to novelty behavior and low daily utility","Demand faded after the initial launch wave","Usage was interesting during demos but not part of daily work"
GreenScoot,failed,1,Mobility,Hardware,France,22000000,4,2018,4,41,50,"Shared scooter fleet with high repair cost and city permit exposure","Operating cost and regulation compressed margins","The model required dense utilization before city rules changed"
AdSignal Loop,failed,1,Martech,SaaS,UK,7500000,2,2019,4,47,64,"Attribution platform exposed to privacy changes and crowded ad tooling","Privacy changes reduced signal quality","Customers questioned accuracy as tracking data disappeared"
MealKit Cloud,failed,1,Foodtech,Subscription,USA,14000000,3,2017,5,39,52,"Subscription meal kits with complex logistics high spoilage and frequent churn","Logistics cost and churn prevented scale","The brand grew quickly but fulfillment quality varied by region"
IndieBank,failed,1,Fintech,Consumer App,Brazil,12000000,2,2019,4,43,66,"Neobank for freelancers with high customer acquisition cost and thin interchange margins","Revenue per customer was too low","The product was useful but distribution was more expensive than expected"
FitMirror Home,failed,1,Fitness,Hardware,USA,55000000,4,2018,5,46,54,"Connected fitness mirror with expensive hardware and demand pulled forward by lockdowns","Inventory and support costs outgrew revenue","Hardware margin left little room for content investment"
LegalBot Pro,failed,1,Legaltech,SaaS,Canada,6000000,2,2019,4,49,57,"SMB legal automation tool in regulated workflows where trust was hard to earn","Low trust slowed adoption","Customers wanted attorney review for the highest value tasks"
QuickHire VR,failed,1,HR Tech,SaaS,USA,8500000,2,2020,3,43,61,"VR interviewing product launched before customers had budget for new hiring hardware","Market timing and adoption friction were poor","The workflow created extra setup for recruiters"
NanoFarm Boxes,failed,1,Agtech,Hardware,Netherlands,17000000,3,2018,4,37,49,"Indoor micro farm appliance with high capex uncertain yields and maintenance needs","Unit economics never reached target","The system worked technically but payback periods were too long"
SocialPulse,failed,1,Social,Consumer App,USA,11000000,3,2021,2,34,68,"Consumer social app with celebrity launch weak retention and high moderation cost","Retention fell after launch attention faded","The audience arrived in bursts but did not build a durable habit"
LedgerFlow,operating,0,Fintech,SaaS,USA,15000000,3,2018,8,82,86,"Revenue automation platform with clear buyer ROI recurring usage and strong retention","","Customers expanded usage after the first finance workflow"
ClinicBridge,operating,0,Healthcare,SaaS,Canada,10000000,2,2017,9,78,82,"Patient coordination software for clinics with measurable admin savings and low churn","","The product entered through one department and expanded across sites"
ShopStack,operating,0,Ecommerce,SaaS,USA,30000000,4,2016,10,79,88,"Composable checkout tools for merchants with recurring revenue and partner channels","","Merchant integrations made the product sticky after onboarding"
FreightGrid,operating,0,Logistics,SaaS,Germany,24000000,3,2017,9,81,84,"Freight planning software that reduces empty miles and integrates with existing systems","","Operators adopted it because savings showed up in weekly routing"
CodeHarbor,operating,0,Devtools,SaaS,USA,12000000,2,2019,7,76,90,"Developer workflow platform with bottom up adoption and strong team expansion","","Individual developers started free and teams converted for governance"
DataCove,operating,0,Security,SaaS,UK,20000000,3,2018,8,84,87,"Cloud data security platform with urgent compliance demand and enterprise renewals","","Security teams had budget and a clear audit deadline"
PayAtlas,operating,0,Fintech,Infrastructure,Singapore,28000000,4,2017,9,80,89,"Payment infrastructure API with high transaction volume and durable platform integrations","","Once merchants integrated the API churn was very low"
FarmOps AI,operating,0,Agtech,SaaS,USA,9000000,2,2020,6,74,80,"Farm operations analytics sold to cooperatives with seasonal ROI and software delivery","","The team focused on crop planning workflows with repeat annual budgets"
LearnLoop,operating,0,Edtech,SaaS,India,7000000,2,2019,7,73,82,"Learning management software for schools with administrative reporting and renewal contracts","","Schools renewed because reporting reduced manual work for teachers"
CarbonLedger,operating,0,Climate,SaaS,Denmark,16000000,3,2018,8,83,85,"Carbon accounting software driven by regulation procurement requirements and audit trails","","Compliance pressure created budget and a clear renewal event"
TalentMap,operating,0,HR Tech,SaaS,Netherlands,8000000,2,2019,7,75,83,"Workforce planning software for mid market companies with repeat budget cycles","","Customers used the planning model every quarter"
HomeCare Hub,operating,0,Healthcare,Marketplace,USA,13000000,3,2018,8,77,78,"Home care coordination marketplace with vetted supply insurance workflows and repeat demand","","The team limited geography until supply quality was reliable"
WarehouseIQ,operating,0,Robotics,SaaS,Germany,19000000,3,2017,9,78,81,"Warehouse optimization software for robots and workers with limited hardware exposure","","The product improved throughput without forcing customers into new equipment"
PrivacyKit,operating,0,Martech,SaaS,Canada,9000000,2,2020,6,76,84,"Privacy first analytics platform aligned with consent rules and first party data strategies","","Customers bought it because privacy changes made old tooling risky"
TeamCanvas,operating,0,Collaboration,SaaS,Australia,6000000,2,2020,6,72,81,"Team planning workspace with recurring rituals templates and strong weekly active usage","","Usage attached to planning meetings that already happened every week"
